step,epoch,loss,ce,dice,lr
1560,1,0.54147,0.28979,0.50336,5.872855701311807e-05
1580,1,0.34598,0.13448,0.42299,5.870837537840565e-05
1600,1,0.37784,0.1484,0.45889,5.868819374369324e-05
1620,1,0.47269,0.2075,0.53037,5.8668012108980825e-05
1640,1,0.60177,0.32824,0.54706,5.864783047426842e-05
1660,1,0.41403,0.20703,0.41399,5.8627648839556e-05
1680,1,0.36694,0.14295,0.44799,5.8607467204843596e-05
1700,1,0.40206,0.15895,0.48622,5.858728557013118e-05
1720,1,0.38426,0.17268,0.42315,5.8567103935418774e-05
1740,1,0.49448,0.23608,0.51678,5.854692230070635e-05
1760,1,0.43641,0.21777,0.43728,5.8526740665993945e-05
1780,1,0.51651,0.26155,0.50992,5.850655903128153e-05
1800,1,0.34829,0.14845,0.39968,5.848637739656912e-05
1820,1,0.44405,0.2207,0.44671,5.846619576185671e-05
1840,1,0.30097,0.10109,0.39976,5.84460141271443e-05
1860,1,0.42273,0.16622,0.51303,5.842583249243189e-05
1880,1,0.59513,0.32425,0.54174,5.840565085771948e-05
1900,1,0.44833,0.20992,0.47682,5.8385469223007065e-05
1920,1,0.37587,0.15712,0.43751,5.836528758829465e-05
1940,1,0.47671,0.24232,0.46879,5.8345105953582237e-05
1960,1,0.38409,0.21523,0.33773,5.832492431886983e-05
1980,1,0.44901,0.19931,0.49941,5.8304742684157415e-05
2000,1,0.31881,0.12704,0.38354,5.828456104944501e-05
2020,1,0.50692,0.25109,0.51165,5.82643794147326e-05
2040,1,0.33052,0.13577,0.38949,5.8244197780020185e-05
2060,1,0.28915,0.10448,0.36933,5.822401614530778e-05
2080,1,0.26215,0.09554,0.3332,5.8203834510595357e-05
